11993	7	11993	10	0
3240	22	7127	10	0
3240	22	7127	10	0
4023	7	3240	10	0
5835	7	3240	10	0
10286	7	9353	10	0
10286	7	13478	10	0
3825	15	3825	10	0
11993	7	9038	10	0
7306	17	8460	10	0
3677	9	16331	10	0
11530	17	16331	10	0
1801	5	16581	10	0
13335	7	1801	10	0
16331	7	16581	10	0
16331	7	1801	10	0
12024	7	16581	10	0
16331	7	12024	10	0
8143	18	8143	10	0
4816	18	4816	11	0
4816	18	3727	11	0
15759	22	15759	11	0
15759	22	15759	11	0
4816	17	16514	11	0
4816	17	18663	11	0
4816	13	2241	11	0
4816	13	2241	11	0
4816	13	2241	11	0
4816	15	18319	11	0
18319	21	18319	11	0
4816	23	14155	11	0
4816	17	7641	11	0
4816	17	7641	11	0
4816	17	7641	11	0
3727	9	11141	11	0
3727	23	4816	11	0
3727	19	11141	11	0
3727	7	4816	11	0
4816	22	4816	11	0
6704	18	6704	11	0
6704	18	6704	11	0
6704	18	6704	11	0
6704	17	13133	11	0
6704	13	2162	11	0
6704	13	2162	11	0
5831	18	5831	12	0
3542	15	4698	12	0
4698	7	10829	12	0
702	18	702	12	0
13335	23	4698	12	0
9531	18	9531	12	0
11207	9	11116	12	0
9531	17	11207	12	0
11207	18	12194	12	0
6687	17	346	12	0
10602	18	346	12	0
346	21	346	12	0
346	9	11207	12	0
9163	9	11116	12	0
651	9	11116	12	0
9163	9	11116	12	0
1420	9	11116	12	0
3870	9	11116	12	0
1420	9	11116	12	0
3870	9	11116	12	0
1420	9	11116	12	0
4572	9	11116	12	0
1420	9	11116	12	0
10438	7	10438	12	0
19406	19	10438	12	0
11207	18	7405	12	0
16813	18	16813	12	0
18084	22	19281	12	0
1420	9	11304	12	0
1420	9	11304	12	0
1420	9	16452	12	0
1420	9	16452	12	0
1420	9	16452	12	0
1420	9	11304	12	0
1420	9	11304	12	0
1420	9	16452	12	0
4385	17	15785	13	0
11141	17	1835	13	0
15759	17	1835	13	0
17328	17	1835	13	0
4392	17	1835	13	0
1835	18	2934	13	0
10445	18	10445	13	0
1835	15	9990	13	0
1835	15	9990	13	0
1835	17	8203	13	0
1835	17	8203	13	0
1835	19	19655	13	0
1835	17	1420	13	0
1835	15	10425	13	0
1835	15	14310	13	0
1835	15	14310	13	0
1835	15	14310	13	0
1835	7	10476	13	0
2743	1	4375	13	0
11785	18	781	13	0
10476	19	18260	13	0
781	2	11785	13	0
17798	22	17798	13	0
17798	22	15759	13	0
370	17	17798	13	0
11425	21	4023	13	0
14331	7	11425	13	0
370	17	14331	13	0
959	21	7555	13	0
2509	21	7555	13	0
2509	21	7555	13	0
7555	7	7555	13	0
15525	2	14663	13	0
444	2	14663	13	0
342	7	14663	13	0
14663	19	14663	13	0
17999	15	14663	13	0
19815	15	14663	13	0
19815	15	14663	13	0
14663	18	9395	13	0
18197	18	9395	13	0
4979	18	9395	13	0
14155	13	1307	13	0
14155	13	8595	13	0
14155	13	6256	13	0
14155	13	8595	13	0
14155	13	974	13	0
14155	13	6256	13	0
14155	13	8595	13	0
14155	13	8201	13	0
14155	13	8595	13	0
2964	21	2964	13	0
2964	21	2964	13	0
2964	19	2964	13	0
4252	19	1145	13	0
4252	15	1145	13	0
4252	1	3410	13	0
19293	5	19293	14	0
5002	5	2232	14	0
18962	5	2232	14	0
11123	5	2232	14	0
19293	5	2232	14	0
2232	5	2232	14	0
7202	5	18605	14	0
10808	5	19293	14	0
15175	5	5965	14	0
8949	5	2232	14	0
7202	5	18037	14	0
6427	18	6427	14	0
9936	21	11482	14	0
17423	21	11482	14	0
7202	21	11482	14	0
18047	5	18047	14	0
4957	5	15586	14	0
